# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"1_XeYFJx9X","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",29.206,29.586,"{""BalletSteps"":""8""}"
"1_TRAS8XC3","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",29.586,30.026,"{""BalletSteps"":""8""}"
"1_zhIsSUMh","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",30.026,30.506,"{""BalletSteps"":""8""}"
"1_XYs49czh","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",39.481,40.421,"{""BalletSteps"":""14""}"
"1_m5fNaJyI","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",40.421,41.121,"{""BalletSteps"":""8""}"
"1_NvVMEweh","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",41.121,41.701,"{""BalletSteps"":""8""}"
"1_ekll2Hwx","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",44.107,45.027,"{""BalletSteps"":""14""}"
"1_j0N5NLK2","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",45.027,45.807,"{""BalletSteps"":""8""}"
"1_8romYCAh","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",45.807,46.587,"{""BalletSteps"":""8""}"
"1_cqjXSYFA","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",48.576,49.936,"{""BalletSteps"":""14""}"
"1_mjEGoa7I","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",51.861,52.261,"{""BalletSteps"":""8""}"
"1_PzzjpNdn","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",52.261,52.661,"{""BalletSteps"":""8""}"
"1_kTXFggHl","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",52.661,53.061,"{""BalletSteps"":""8""}"
"1_d1u90AOO","[""file:///C:\\Annotation\\BAS\\BAS0001.mp4""]",53.326,54.206,"{""BalletSteps"":""14""}"
"2_VoCdXPOY","[""file:///C:\\Annotation\\BAS\\BAS0003.mp4""]",,,"{""OnlyOneDancer?"":""1""}"
"2_7bhXFwAC","[""file:///C:\\Annotation\\BAS\\BAS0003.mp4""]",2.502,3.442,"{""BalletSteps"":""14""}"
"2_QoU2z6BU","[""file:///C:\\Annotation\\BAS\\BAS0003.mp4""]",7.17,7.99,"{""BalletSteps"":""15""}"
"2_OGylkg8B","[""file:///C:\\Annotation\\BAS\\BAS0003.mp4""]",11.494,12.374,"{""BalletSteps"":""14""}"
"2_Nm5T9vDV","[""file:///C:\\Annotation\\BAS\\BAS0003.mp4""]",18.973,19.553,"{""BalletSteps"":""9""}"
"2_NUx8GKl3","[""file:///C:\\Annotation\\BAS\\BAS0003.mp4""]",19.553,20.233,"{""BalletSteps"":""9""}"
"2_dexXUYfH","[""file:///C:\\Annotation\\BAS\\BAS0003.mp4""]",20.233,20.893,"{""BalletSteps"":""9""}"
"2_rFWtAaOy","[""file:///C:\\Annotation\\BAS\\BAS0003.mp4""]",20.893,21.693,"{""BalletSteps"":""9""}"
"2_uctrfbb4","[""file:///C:\\Annotation\\BAS\\BAS0003.mp4""]",21.693,22.433,"{""BalletSteps"":""9""}"
"2_Z2YfoJxJ","[""file:///C:\\Annotation\\BAS\\BAS0003.mp4""]",22.433,23.193,"{""BalletSteps"":""9""}"
"2_Qt6Nqft2","[""file:///C:\\Annotation\\BAS\\BAS0003.mp4""]",27.889,28.529,"{""BalletSteps"":""9""}"
"2_0RDamUza","[""file:///C:\\Annotation\\BAS\\BAS0003.mp4""]",28.529,29.009,"{""BalletSteps"":""9""}"
"2_CwqxlXhO","[""file:///C:\\Annotation\\BAS\\BAS0003.mp4""]",29.009,29.769,"{""BalletSteps"":""9""}"
"2_XXoPtFo3","[""file:///C:\\Annotation\\BAS\\BAS0003.mp4""]",39.123,40.083,"{""BalletSteps"":""14""}"
"2_fzCOM4C2","[""file:///C:\\Annotation\\BAS\\BAS0003.mp4""]",43.359,44.319,"{""BalletSteps"":""14""}"
"2_FOGp7TR9","[""file:///C:\\Annotation\\BAS\\BAS0003.mp4""]",49.555,50.015,"{""BalletSteps"":""9""}"
"2_0gkhZo1U","[""file:///C:\\Annotation\\BAS\\BAS0003.mp4""]",50.015,50.515,"{""BalletSteps"":""9""}"
"2_k8hUT7xX","[""file:///C:\\Annotation\\BAS\\BAS0003.mp4""]",50.515,51.095,"{""BalletSteps"":""9""}"
"2_Sesg0NJp","[""file:///C:\\Annotation\\BAS\\BAS0003.mp4""]",51.439,52.279,"{""BalletSteps"":""14""}"
"3_hUnCjmeL","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"3_2KtGti4t","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",2.362,3.242,"{""BalletSteps"":""14""}"
"3_0nC2Kht1","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",6.617,7.477,"{""BalletSteps"":""15""}"
"3_NDdLLUMc","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",10.942,11.742,"{""BalletSteps"":""14""}"
"3_BWDuVRhJ","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",19.027,19.487,"{""BalletSteps"":""9""}"
"3_kh2XuCOs","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",19.487,20.127,"{""BalletSteps"":""9""}"
"3_hjHvzgJD","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",20.127,20.727,"{""BalletSteps"":""9""}"
"3_qeXFjA1J","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",20.727,21.447,"{""BalletSteps"":""9""}"
"3_3R1XEG6d","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",21.447,22.047,"{""BalletSteps"":""9""}"
"3_lXRrTRj6","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",22.047,22.527,"{""BalletSteps"":""9""}"
"3_DSQXakXp","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",22.527,23.027,"{""BalletSteps"":""9""}"
"3_00tiVbSj","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",23.027,24.027,"{""BalletSteps"":""9""}"
"3_HfsAb9fT","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",24.856,25.556,"{""BalletSteps"":""7""}"
"3_lW3Vty2l","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",28.628,28.988,"{""BalletSteps"":""9""}"
"3_BNZsCXKQ","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",28.988,29.388,"{""BalletSteps"":""9""}"
"3_addUAa7v","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",29.388,29.848,"{""BalletSteps"":""9""}"
"3_iaK70TI9","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",29.848,30.288,"{""BalletSteps"":""9""}"
"3_MxGYn8GX","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",30.288,30.668,"{""BalletSteps"":""9""}"
"3_NBJcamnd","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",30.668,31.128,"{""BalletSteps"":""9""}"
"3_jQgXS8mp","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",31.128,31.828,"{""BalletSteps"":""9""}"
"3_q5guhnXO","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",39.464,40.344,"{""BalletSteps"":""14""}"
"3_ozhTAXky","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",40.344,41.244,"{""BalletSteps"":""14""}"
"3_ePS1Md2K","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",44.305,45.225,"{""BalletSteps"":""14""}"
"3_G73yUegn","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",45.225,46.085,"{""BalletSteps"":""14""}"
"3_a5DXCqdC","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",49.445,50.485,"{""BalletSteps"":""14""}"
"3_3ZWJ65Xo","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",50.558,51.158,"{""BalletSteps"":""0""}"
"3_xSwl4jCT","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",52.535,52.995,"{""BalletSteps"":""9""}"
"3_GKHrV7uF","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",52.995,53.435,"{""BalletSteps"":""9""}"
"3_6hNJJ44k","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",53.435,53.895,"{""BalletSteps"":""9""}"
"3_GiIp8nUB","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",53.895,54.395,"{""BalletSteps"":""9""}"
"3_XE4vqNBO","[""file:///C:\\Annotation\\BAS\\BAS0004.mp4""]",54.595,55.435,"{""BalletSteps"":""14""}"
"4_cP7P3bx3","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",,,"{""OnlyOneDancer?"":""1""}"
"4_asXedC6N","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",2.642,3.562,"{""BalletSteps"":""14""}"
"4_Qca64Xw5","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",5.076,5.456,"{""BalletSteps"":""0""}"
"4_2fKglCJz","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",7.058,8.018,"{""BalletSteps"":""15""}"
"4_vjxfYjc0","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",11.51,12.41,"{""BalletSteps"":""14""}"
"4_rfheORbB","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",13.759,14.039,"{""BalletSteps"":""13""}"
"4_scWjmr26","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",19.309,19.849,"{""BalletSteps"":""9""}"
"4_V6CvzFYI","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",19.849,20.409,"{""BalletSteps"":""9""}"
"4_jJ448lbI","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",20.409,21.009,"{""BalletSteps"":""9""}"
"4_RB1gJn1X","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",21.009,21.669,"{""BalletSteps"":""9""}"
"4_MQfI8ISH","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",21.669,22.309,"{""BalletSteps"":""9""}"
"4_ddViS4tP","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",22.309,22.849,"{""BalletSteps"":""9""}"
"4_GeBcfzpE","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",22.849,23.429,"{""BalletSteps"":""9""}"
"4_E2WSfVt2","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",28.894,29.414,"{""BalletSteps"":""9""}"
"4_Ozt3Rayv","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",29.414,29.774,"{""BalletSteps"":""9""}"
"4_WBwaXrwl","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",29.774,30.174,"{""BalletSteps"":""9""}"
"4_4pYuKxXe","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",30.174,30.614,"{""BalletSteps"":""9""}"
"4_Pm97twm5","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",30.614,31.274,"{""BalletSteps"":""9""}"
"4_uuWSa0A7","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",39.19,40.15,"{""BalletSteps"":""14""}"
"4_jpVmPEtV","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",40.19392,40.623,"{""BalletSteps"":""1""}"
"4_iS22gkxP","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",42.817,43.697,"{""BalletSteps"":""14""}"
"4_EZ3XQIya","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",43.697,44.597,"{""BalletSteps"":""14""}"
"4_0F4gvw8u","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",44.657,45.057,"{""BalletSteps"":""1""}"
"4_6KOsXq13","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",47.7,48.62,"{""BalletSteps"":""14""}"
"4_XE99hMGO","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",51.35,51.75,"{""BalletSteps"":""9""}"
"4_fk9oCQWX","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",51.75,52.15,"{""BalletSteps"":""9""}"
"4_bozqEJiQ","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",52.15,52.55,"{""BalletSteps"":""9""}"
"4_gX1zKYMX","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",52.55,53.01,"{""BalletSteps"":""9""}"
"4_sWkngXXJ","[""file:///C:\\Annotation\\BAS\\BAS0007.mp4""]",53.17,53.89,"{""BalletSteps"":""14""}"
"5_5t1eBSTV","[""file:///C:\\Annotation\\BAS\\BAS0008.mp4""]",2.959,3.879,"{""BalletSteps"":""14""}"
"5_VjXcCx4w","[""file:///C:\\Annotation\\BAS\\BAS0008.mp4""]",7.172,7.992,"{""BalletSteps"":""15""}"
"5_KNilvlx9","[""file:///C:\\Annotation\\BAS\\BAS0008.mp4""]",11.7,12.64,"{""BalletSteps"":""14""}"
"5_c1hqw4iV","[""file:///C:\\Annotation\\BAS\\BAS0008.mp4""]",19.545,20.06642,"{""BalletSteps"":""9""}"
"5_xcFDuIk5","[""file:///C:\\Annotation\\BAS\\BAS0008.mp4""]",20.065,20.885,"{""BalletSteps"":""9""}"
"5_xhSusfEB","[""file:///C:\\Annotation\\BAS\\BAS0008.mp4""]",20.885,21.705,"{""BalletSteps"":""9""}"
"5_WVV4TkKs","[""file:///C:\\Annotation\\BAS\\BAS0008.mp4""]",21.705,22.525,"{""BalletSteps"":""9""}"
"5_MXUh3FO4","[""file:///C:\\Annotation\\BAS\\BAS0008.mp4""]",22.525,23.025,"{""BalletSteps"":""9""}"
"5_fze87tXX","[""file:///C:\\Annotation\\BAS\\BAS0008.mp4""]",28.44,28.96,"{""BalletSteps"":""9""}"
"5_heUY0gfp","[""file:///C:\\Annotation\\BAS\\BAS0008.mp4""]",28.96,29.76,"{""BalletSteps"":""9""}"
"5_91vXXOQ7","[""file:///C:\\Annotation\\BAS\\BAS0008.mp4""]",29.76,30.56,"{""BalletSteps"":""9""}"
"5_IuM9XKYO","[""file:///C:\\Annotation\\BAS\\BAS0008.mp4""]",30.56,31.28,"{""BalletSteps"":""9""}"
"5_jzsJaNlL","[""file:///C:\\Annotation\\BAS\\BAS0008.mp4""]",31.28,31.76,"{""BalletSteps"":""9""}"
"5_xHLXBvbA","[""file:///C:\\Annotation\\BAS\\BAS0008.mp4""]",31.76,32.32,"{""BalletSteps"":""9""}"
"5_dXgG2JpX","[""file:///C:\\Annotation\\BAS\\BAS0008.mp4""]",40.501,41.361,"{""BalletSteps"":""14""}"
"5_ep74EnZa","[""file:///C:\\Annotation\\BAS\\BAS0008.mp4""]",44.85892,45.722,"{""BalletSteps"":""14""}"
"5_SJk9XiQ8","[""file:///C:\\Annotation\\BAS\\BAS0008.mp4""]",49.441,50.321,"{""BalletSteps"":""14""}"
"5_Qa5docmq","[""file:///C:\\Annotation\\BAS\\BAS0008.mp4""]",52.484,52.944,"{""BalletSteps"":""9""}"
"5_0NXkYIX8","[""file:///C:\\Annotation\\BAS\\BAS0008.mp4""]",52.944,53.464,"{""BalletSteps"":""9""}"
"5_0lEOXIGJ","[""file:///C:\\Annotation\\BAS\\BAS0008.mp4""]",53.464,54.104,"{""BalletSteps"":""9""}"
"5_yjIXCo3X","[""file:///C:\\Annotation\\BAS\\BAS0008.mp4""]",54.371,55.111,"{""BalletSteps"":""14""}"
"6_B5nkzNPc","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",2.557,3.417,"{""BalletSteps"":""14""}"
"6_dXiPMzPB","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",7.43,8.35,"{""BalletSteps"":""15""}"
"6_clFmc4A2","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",12.196,13.016,"{""BalletSteps"":""14""}"
"6_WBETM2hA","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",15.419,16.899,"{""BalletSteps"":""9""}"
"6_GlkDO1xp","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",21.025,21.485,"{""BalletSteps"":""9""}"
"6_fxzRlRDu","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",21.485,22.125,"{""BalletSteps"":""9""}"
"6_NPIk2c80","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",22.125,22.765,"{""BalletSteps"":""9""}"
"6_iPU4wXMl","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",22.765,23.445,"{""BalletSteps"":""9""}"
"6_TMrCIMBg","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",23.445,24.185,"{""BalletSteps"":""9""}"
"6_iqyrCm7M","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",24.185,24.885,"{""BalletSteps"":""9""}"
"6_BcVuLn30","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",24.885,25.465,"{""BalletSteps"":""9""}"
"6_l2jODGLh","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",25.465,26.005,"{""BalletSteps"":""9""}"
"6_i9PMROhn","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",26.005,26.485,"{""BalletSteps"":""9""}"
"6_gDShU2jN","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",26.485,27.025,"{""BalletSteps"":""9""}"
"6_XL8NQiCR","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",27.025,27.785,"{""BalletSteps"":""9""}"
"6_EtoCkfwa","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",32.7,33.14809,"{""BalletSteps"":""9""}"
"6_2b0V2yGU","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",33.14,33.6,"{""BalletSteps"":""9""}"
"6_an9m1AV0","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",33.6,34.1,"{""BalletSteps"":""9""}"
"6_g4b1wvGQ","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",34.1,34.74,"{""BalletSteps"":""9""}"
"6_SE6pCByi","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",34.74,35.6,"{""BalletSteps"":""9""}"
"6_uDzoOHIm","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",44.833,45.813,"{""BalletSteps"":""14""}"
"6_KdfYQRjU","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",45.864,46.784,"{""BalletSteps"":""1""}"
"6_F9xPcFOX","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",49.544,50.544,"{""BalletSteps"":""14""}"
"6_DdYo6Vb6","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",50.622,51.002,"{""BalletSteps"":""1""}"
"6_HKrXTEzO","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",56.236,56.796,"{""BalletSteps"":""9""}"
"6_6h8IEOXs","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",56.796,57.276,"{""BalletSteps"":""9""}"
"6_4w5oycsT","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",57.276,57.756,"{""BalletSteps"":""9""}"
"6_KR7qPPZL","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",57.756,58.296,"{""BalletSteps"":""9""}"
"6_N7uheK9E","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",58.296,58.756,"{""BalletSteps"":""9""}"
"6_JtGe6vSg","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",59.016,59.856,"{""BalletSteps"":""14""}"
"6_6IYTjfiD","[""file:///C:\\Annotation\\BAS\\BAS0009.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"5_vEWto2ka","[""file:///C:\\Annotation\\BAS\\BAS0008.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"7_x28KB8Co","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"7_GdyZFdQL","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",2.367,3.307,"{""BalletSteps"":""14""}"
"7_XOdpptik","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",5.226,5.946,"{""BalletSteps"":""17""}"
"7_ViXMCWKJ","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",5.226,5.946,"{""BalletSteps"":""19""}"
"7_2Bz8EX89","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",7.357,8.177,"{""BalletSteps"":""15""}"
"7_2c51kLvE","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",9.019,9.719,"{""BalletSteps"":""17""}"
"7_rVDQGkDL","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",11.187,12.127,"{""BalletSteps"":""14""}"
"7_NLT9EQzX","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",14.578,15.078,"{""BalletSteps"":""9""}"
"7_RCQI22KJ","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",15.078,15.79226,"{""BalletSteps"":""9""}"
"7_idzohobX","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",18.425,18.905,"{""BalletSteps"":""9""}"
"7_EQG3ElNJ","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",18.905,19.625,"{""BalletSteps"":""9""}"
"7_dVx3ddRk","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",19.625,20.385,"{""BalletSteps"":""9""}"
"7_DEXJoMFr","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",20.385,21.145,"{""BalletSteps"":""9""}"
"7_3NhLnvji","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",21.145,21.825,"{""BalletSteps"":""9""}"
"7_Vffzh8V6","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",27.372,27.992,"{""BalletSteps"":""8""}"
"7_yBhfZyQb","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",27.992,28.432,"{""BalletSteps"":""8""}"
"7_fLUjJNOc","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",28.432,28.892,"{""BalletSteps"":""8""}"
"7_SWrk4MYC","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",28.892,29.572,"{""BalletSteps"":""8""}"
"7_A9SGlGlf","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",36.409,37.429,"{""BalletSteps"":""14""}"
"7_gPP8TWPe","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",37.961,38.441,"{""BalletSteps"":""9""}"
"7_WiGlb4CT","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",38.441,38.961,"{""BalletSteps"":""9""}"
"7_wmPSkX8M","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",40.652,41.672,"{""BalletSteps"":""14""}"
"7_mC05FDDZ","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",42.23,42.65,"{""BalletSteps"":""9""}"
"7_fu0BcE8C","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",42.65,43.35,"{""BalletSteps"":""9""}"
"7_NTkiOIy3","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",44.539,45.559,"{""BalletSteps"":""14""}"
"7_PF5QEOLp","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",48.35,48.89,"{""BalletSteps"":""9""}"
"7_kWZvisD3","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",48.89,49.43,"{""BalletSteps"":""9""}"
"7_kuadXDXt","[""file:///C:\\Annotation\\BAS\\BAS0011.mp4""]",49.691,50.491,"{""BalletSteps"":""14""}"
"8_7w3AdzD0","[""file:///C:\\Annotation\\BAS\\BAS0015.mp4""]",,,"{""OnlyOneDancer?"":""0""}"
"8_6hRsXxDh","[""file:///C:\\Annotation\\BAS\\BAS0015.mp4""]",2.497,3.357,"{""BalletSteps"":""14""}"
"8_tCOalX8Z","[""file:///C:\\Annotation\\BAS\\BAS0015.mp4""]",7.04,7.76,"{""BalletSteps"":""16""}"
"8_DN0XaQP2","[""file:///C:\\Annotation\\BAS\\BAS0015.mp4""]",11.705,12.525,"{""BalletSteps"":""14""}"
"8_ySeeyXsP","[""file:///C:\\Annotation\\BAS\\BAS0015.mp4""]",20.636,21.136,"{""BalletSteps"":""9""}"
"8_ZEWQXkvQ","[""file:///C:\\Annotation\\BAS\\BAS0015.mp4""]",21.136,21.936,"{""BalletSteps"":""9""}"
"8_xEsNCXdw","[""file:///C:\\Annotation\\BAS\\BAS0015.mp4""]",21.936,22.836,"{""BalletSteps"":""9""}"
"8_qMdYZP26","[""file:///C:\\Annotation\\BAS\\BAS0015.mp4""]",22.836,23.696,"{""BalletSteps"":""9""}"
"8_oPuXQ8PK","[""file:///C:\\Annotation\\BAS\\BAS0015.mp4""]",23.696,24.296,"{""BalletSteps"":""9""}"
"8_aBeMbA6j","[""file:///C:\\Annotation\\BAS\\BAS0015.mp4""]",30.096,30.536,"{""BalletSteps"":""9""}"
"8_cog8wYWJ","[""file:///C:\\Annotation\\BAS\\BAS0015.mp4""]",30.536,31.036,"{""BalletSteps"":""9""}"
"8_Y9WAMevl","[""file:///C:\\Annotation\\BAS\\BAS0015.mp4""]",31.036,31.556,"{""BalletSteps"":""9""}"
"8_f7794ODF","[""file:///C:\\Annotation\\BAS\\BAS0015.mp4""]",31.556,32.576,"{""BalletSteps"":""9""}"
"8_3sRlh50O","[""file:///C:\\Annotation\\BAS\\BAS0015.mp4""]",41.526,42.49976,"{""BalletSteps"":""14""}"
